# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1392E+06,      0.7070E-01
     0.1392E+06,      0.6060E-01
     0.1392E+06,      0.5050E-01
     0.1392E+06,      0.4040E-01
     0.1392E+06,      0.3030E-01
     0.1392E+06,      0.2020E-01
     0.1392E+06,      0.1010E-01
     0.1392E+06,      0.1020E-05
     0.1376E+06,      0.1000E+01
     0.1376E+06,      0.9899E+00
     0.1376E+06,      0.9798E+00
     0.1376E+06,      0.9697E+00
     0.1376E+06,      0.9596E+00
     0.1376E+06,      0.9495E+00
     0.1376E+06,      0.9394E+00
     0.1376E+06,      0.9292E+00
     0.1376E+06,      0.9191E+00
     0.1376E+06,      0.9090E+00
     0.1376E+06,      0.8989E+00
     0.1376E+06,      0.8888E+00
     0.1376E+06,      0.8787E+00
     0.1376E+06,      0.8686E+00
     0.1376E+06,      0.8585E+00
     0.1376E+06,      0.8484E+00
     0.1376E+06,      0.8383E+00
     0.1376E+06,      0.8282E+00
     0.1376E+06,      0.8180E+00
     0.1376E+06,      0.8079E+00
     0.1376E+06,      0.7978E+00
     0.1376E+06,      0.7877E+00
     0.1376E+06,      0.7776E+00
     0.1376E+06,      0.7675E+00
     0.1376E+06,      0.7574E+00
     0.1376E+06,      0.7473E+00
     0.1376E+06,      0.7372E+00
     0.1376E+06,      0.7271E+00
     0.1376E+06,      0.7170E+00
     0.1376E+06,      0.7069E+00
     0.1376E+06,      0.6968E+00
     0.1376E+06,      0.6867E+00
     0.1376E+06,      0.6766E+00
     0.1376E+06,      0.6665E+00
     0.1376E+06,      0.6564E+00
     0.1376E+06,      0.6463E+00
     0.1377E+06,      0.6361E+00
     0.1377E+06,      0.6260E+00
     0.1377E+06,      0.6159E+00
     0.1377E+06,      0.6058E+00
     0.1377E+06,      0.5957E+00
     0.1377E+06,      0.5856E+00
     0.1377E+06,      0.5755E+00
     0.1377E+06,      0.5654E+00
     0.1377E+06,      0.5553E+00
     0.1377E+06,      0.5452E+00
     0.1377E+06,      0.5351E+00
     0.1377E+06,      0.5250E+00
     0.1377E+06,      0.5149E+00
     0.1377E+06,      0.5048E+00
     0.1377E+06,      0.4948E+00
     0.1377E+06,      0.4847E+00
     0.1377E+06,      0.4746E+00
     0.1377E+06,      0.4645E+00
     0.1377E+06,      0.4544E+00
     0.1377E+06,      0.4443E+00
     0.1377E+06,      0.4342E+00
     0.1377E+06,      0.4241E+00
     0.1377E+06,      0.4140E+00
     0.1377E+06,      0.4039E+00
     0.1377E+06,      0.3938E+00
     0.1377E+06,      0.3837E+00
     0.1377E+06,      0.3736E+00
     0.1377E+06,      0.3635E+00
     0.1377E+06,      0.3534E+00
     0.1377E+06,      0.3433E+00
     0.1377E+06,      0.3332E+00
     0.1377E+06,      0.3231E+00
     0.1377E+06,      0.3130E+00
     0.1377E+06,      0.3029E+00
     0.1377E+06,      0.2928E+00
